shk_id,dt,employee_id,place_cod,tare_id,tare_type,isdeleted,isstock,chrt_id,state_id,transfer_box_id,correction_dt,wbsticker_id
4339,2024-06-15 16:24:44.0,1040008,954213185,0,,0,1,243123,WLN,0,2000-01-01 03:00:00.0,15084277693
4366,2023-05-16 15:39:21.0,897764,934354166,900050151,CON,0,0,122163,WPU,0,1970-01-01 07:00:00.0,0
4388,2024-06-02 05:11:20.0,776577,915970630,0,,0,1,172018,LIO,0,2000-01-01 03:00:00.0,13523826445
4477,2023-01-09 09:11:25.0,757734,919344247,172174679,BOX,0,0,195942,PEP,0,1970-01-01 07:00:00.0,0
4490,2023-04-01 02:55:05.0,604482,901731156,0,BOX,0,0,587454,WPT,0,1970-01-01 07:00:00.0,0
4503,2020-08-04 17:03:54.0,207457,911276280,0,BOX,0,0,185130,FOS,0,1970-01-01 07:00:00.0,0
4504,2023-05-18 15:03:37.0,186383,925901440,0,BOX,0,0,209032,RSA,0,1970-01-01 07:00:00.0,0
4509,2024-02-08 17:12:16.0,658737,916561622,0,,0,0,563647,PEP,0,2024-02-09 23:18:53.0,4509
4513,2023-12-27 03:48:08.0,1240854,901062878,0,,0,0,322739,PEP,0,2023-12-31 16:56:54.0,4513
4519,2023-09-13 17:46:42.0,989428,922192305,0,BOX,0,0,148395540,IPS,0,1970-01-01 07:00:00.0,0
4530,2021-03-11 20:23:15.0,197004,911318782,0,BOX,0,0,122802,BRA,0,1970-01-01 07:00:00.0,0
4531,2024-02-12 21:28:24.0,689017,924227402,220534531,BOX,0,0,26789,PEP,0,2000-01-01 03:00:00.0,0
4534,2023-11-25 13:13:41.0,650653,921576199,0,,0,0,196011,PEP,0,2000-01-01 03:00:00.0,12151845892
4537,2023-05-18 15:03:37.0,186383,925901440,0,BOX,0,0,185115,RSA,0,1970-01-01 07:00:00.0,0
4539,2023-02-16 23:56:25.0,186383,911276869,0,BOX,0,0,308568,RSA,0,1970-01-01 07:00:00.0,0
4544,2024-02-03 18:35:52.0,774262,940577962,0,,0,1,117998,WLN,0,2000-01-01 03:00:00.0,13320174061
4599,2022-05-19 06:10:50.0,179998,910864132,154687004,BOX,0,0,202632,WRP,0,1970-01-01 07:00:00.0,0
4610,2022-08-02 09:22:29.0,288724,901086022,160232481,BOX,0,0,553989,LMB,0,1970-01-01 07:00:00.0,0
4698,2023-11-08 22:28:24.0,226619,923535889,206722803,BOX,0,0,209022,PEP,0,2000-01-01 03:00:00.0,0
4703,2022-02-09 07:34:34.0,181158,911276248,0,BOX,0,0,255474,BRA,0,1970-01-01 07:00:00.0,0
4722,2022-06-03 22:40:07.0,223231,910580185,156068821,BOX,0,0,100640,WRL,0,1970-01-01 07:00:00.0,0
4734,2021-12-23 17:16:05.0,211112,917742792,0,BOX,0,0,144850,FOS,0,1970-01-01 07:00:00.0,0
4761,2024-02-03 18:42:31.0,736890,910855755,75325817,BOX,0,1,151841,WLN,0,2000-01-01 03:00:00.0,11513282476
4764,2023-09-14 16:54:33.0,178145,918405089,196254764,BOX,0,0,242853,PEP,0,1970-01-01 07:00:00.0,0
4789,2024-02-12 19:40:48.0,561093,918691579,143593031,BOX,0,1,144817,WLN,0,2000-01-01 03:00:00.0,12943524623
4806,2023-05-27 19:21:54.0,902689,924869007,176266826,BOX,0,0,116439,PEP,0,1970-01-01 07:00:00.0,0
4808,2024-05-16 19:19:56.0,199827,919440435,211422942,BOX,0,1,181935,WLN,0,2000-01-01 03:00:00.0,8610609616
4809,2024-06-12 13:44:25.0,1372188,917884061,2900410210,TBX,0,0,274417812,SMS,2900410210,2000-01-01 03:00:00.0,4809
4810,2020-01-14 13:28:44.0,103337,903037171,0,BOX,0,0,228783,FOS,0,1970-01-01 07:00:00.0,0
4814,2022-08-26 12:39:32.0,550098,916561459,161600496,BOX,0,0,185126,WRD,0,1970-01-01 07:00:00.0,0
4823,2023-04-24 06:36:24.0,253927,916264430,700399645,CON,0,0,185901,WPU,0,1970-01-01 07:00:00.0,0
4825,2021-06-19 14:53:20.0,275210,907507979,0,BOX,0,0,122246,BRA,0,1970-01-01 07:00:00.0,0
4904,2022-05-02 20:46:17.0,270836,913367075,0,BOX,0,0,485479,BRA,0,1970-01-01 07:00:00.0,0
5047,2023-01-20 17:15:19.0,289376,907001852,171858201,BOX,0,0,122666,WRP,0,1970-01-01 07:00:00.0,0
5087,2022-05-24 21:28:07.0,363049,903534873,155142322,BOX,0,0,314247,WUN,0,1970-01-01 07:00:00.0,0
5089,2022-02-05 11:58:16.0,186383,912509074,0,BOX,0,0,117998,FOS,0,1970-01-01 07:00:00.0,0
5091,2023-09-06 06:01:47.0,1024468,916561622,194277787,BOX,0,0,151872,PEP,0,1970-01-01 07:00:00.0,0
5239,2023-12-17 15:43:43.0,759811,916561622,0,,0,0,152832,PEP,0,2024-01-22 17:05:01.0,5239
5256,2020-10-18 04:08:58.0,159757,903067128,0,BOX,0,0,429909,FOS,0,1970-01-01 07:00:00.0,0
5294,2022-06-17 17:36:22.0,585023,918056733,156729064,BOX,0,0,114940,WTP,0,1970-01-01 07:00:00.0,0
5304,2022-04-07 20:51:56.0,151682,901013843,142143410,BOX,0,0,121523,WRP,0,1970-01-01 07:00:00.0,0
